"Name","PID","AT","BT","CT","TAT","WT","RT","Priority"
"Process 2","2","3","3","6","3","0","0","-1"
"Process 3","3","4","2","8","4","2","2","-1"
"Process 0","0","4","6","14","10","4","4","-1"
"Process 1","1","7","1","15","8","7","7","-1"
"Process 4","4","9","6","21","12","6","6","-1"
"Clock: ","21"

"Process 6","6","0","7","7","7","0","0","-1"
"Process 9","9","5","2","9","4","2","2","-1"
"Process 5","5","5","5","14","9","4","4","-1"
"Process 8","8","8","5","19","11","6","6","-1"
"Process 7","7","9","6","25","16","10","10","-1"
"Clock: ","25"

"Process 11","11","2","6","8","6","0","0","-1"
"Process 14","14","2","9","17","15","6","6","-1"
"Process 13","13","3","4","21","18","14","14","-1"
"Process 12","12","5","9","30","25","16","16","-1"
"Process 10","10","7","1","31","24","23","23","-1"
"Clock: ","31"

"Process 19","19","1","5","6","5","0","0","-1"
"Process 17","17","3","4","10","7","3","3","-1"
"Process 16","16","4","5","15","11","6","6","-1"
"Process 15","15","6","8","23","17","9","9","-1"
"Process 18","18","7","6","29","22","16","16","-1"
"Clock: ","29"

"Process 22","22","1","8","9","8","0","0","-1"
"Process 24","24","4","4","13","9","5","5","-1"
"Process 20","20","4","6","19","15","9","9","-1"
"Process 21","21","7","4","23","16","12","12","-1"
"Process 23","23","8","4","27","19","15","15","-1"
"Clock: ","27"

